price,location,area,bedrooms,bathrooms,purpose,property_type
110500000.0,"DHA Phase 6 - Block N, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
110000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
40000000.0,"Johar Town Phase 2, Johar Town, Lahore, Punjab",12.0,3.0,3.0,For Sale,House
24000000.0,"Divine Gardens, Lahore, Punjab",5.0,5.0,6.0,For Sale,House
25500000.0,"Dream Gardens Phase 1, Dream Gardens, Defence Road, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
25000000.0,"Dream Gardens, Defence Road, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
81000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
19500000.0,"Central Park Housing Scheme, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
14500000.0,"Park View City, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
19000000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
6000000.0,"Elite Town, Lahore, Punjab",2.5,3.0,2.0,For Sale,House
46500000.0,"DHA 11 Rahbar Phase 1 - Block E, DHA 11 Rahbar Phase 1, DHA 11 Rahbar, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
86500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
19000000.0,"Pak Arab Housing Society Phase 1, Pak Arab Housing Society, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
21000000.0,"Bahria Town - Tipu Sultan Block Extension, Bahria Town - Sector F, Bahria Town, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
62500000.0,"DHA Phase 4, DHA Defence, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
45000000.0,"DHA Phase 2, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
87500000.0,"PAF Falcon Complex, Gulberg, Lahore, Punjab",14.0,4.0,5.0,For Sale,House
55000000.0,"DHA Phase 1 - Block P, DHA Phase 1, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
95000000.0,"PAF Falcon Complex, Gulberg, Lahore, Punjab",14.0,4.0,4.0,For Sale,House
80000000.0,"PAF Falcon Complex, Gulberg, Lahore, Punjab",14.0,4.0,5.0,For Sale,House
97500000.0,"PAF Falcon Complex, Gulberg, Lahore, Punjab",14.0,4.0,5.0,For Sale,House
62500000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
77500000.0,"DHA Phase 4, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
80000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
135000000.0,"DHA Phase 6 - Block A, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
87500000.0,"DHA Phase 6 - Block L, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
65000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
79500000.0,"DHA Phase 8 - Block V, DHA Phase 8, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
11500000.0,"Park View City, Lahore, Punjab",3.5,3.0,4.0,For Sale,House
139500000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",40.0,5.0,6.0,For Sale,House
64500000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
38000000.0,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
14500000.0,"Park View City - Overseas Block, Park View City, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
32000000.0,"Park View City, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
11200000.000000002,"Park View City, Lahore, Punjab",3.5,3.0,4.0,For Sale,House
23500000.0,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
55000000.0,"DHA Phase 7 - Block U, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
16500000.0,"Central Park - Block A1, Central Park Housing Scheme, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
20000000.0,"Central Park - Block A1, Central Park Housing Scheme, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
78000000.0,"Central Park - Block B, Central Park Housing Scheme, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
18500000.0,"Central Park - Block E, Central Park Housing Scheme, Lahore, Punjab",5.0,3.0,5.0,For Sale,House
65000000.0,"DHA Phase 7 - Block Z1, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
79500000.0,"DHA Phase 6 - Block L, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
60000000.0,"DHA Phase 7 - Block X, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
71500000.0,"DHA Phase 7 - Block W, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
111000000.0,"DHA Phase 6 - Block J, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
112000000.0,"DHA Phase 6 - Block M, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
75000000.0,"DHA Phase 4, DHA Defence, Lahore, Punjab",20.0,5.0,5.0,For Sale,House
177500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",40.0,6.0,6.0,For Sale,House
88000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
64000000.0,"PGECHS Phase 2, Punjab Govt Employees Society, Lahore, Punjab",17.0,6.0,6.0,For Sale,House
109000000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
21000000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
42000000.0,"Valencia Housing Society, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
32500000.0,"Wapda Town Phase 1, Wapda Town, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
80000000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
12500000.0,"Formanites Housing Scheme - Block J, Formanites Housing Scheme, Lahore, Punjab",3.0,3.0,3.0,For Sale,House
22000000.0,"Formanites Housing Scheme - Block M, Formanites Housing Scheme, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
19000000.0,"Central Park - Block E, Central Park Housing Scheme, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
37000000.0,"Central Park - Block G, Central Park Housing Scheme, Lahore, Punjab",10.0,5.0,5.0,For Sale,House
38000000.0,"UET Housing Society, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
87500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,5.0,For Sale,House
82500000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
75000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
156000000.0,"DHA Phase 6 - Block K, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
82500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
155000000.0,"DHA Phase 6 - Block M, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
107500000.0,"DHA Phase 7 - Block X, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
21000000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
22500000.0,"Wapda Town Phase 1, Wapda Town, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
25500000.0,"Sabzazar Scheme - Block P, Sabzazar Scheme, Lahore, Punjab",5.0,5.0,6.0,For Sale,House
21500000.0,"Park View City - Tulip Overseas, Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
22000000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,5.0,For Sale,House
39500000.0,"Dream Gardens - Block E, Dream Gardens, Defence Road, Lahore, Punjab",10.0,5.0,5.0,For Sale,House
80000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,5.0,For Sale,House
